구분,보통휘발유,자동차용경유
22년11월2주,926.58,1320.15
22년11월3주,902.18,1275.09
22년11월4주,871.36,1210.70
22년11월5주,851.24,1147.25
22년12월1주,831.28,1122.19
22년12월2주,797.47,1046.01
22년12월3주,812.90,1059.91
22년12월4주,811.59,1048.90
23년01월1주,831.40,1058.94
23년01월2주,806.33,1024.78
23년01월3주,817.05,1034.39
23년01월4주,809.11,1022.13
23년02월1주,822.94,1025.42
23년02월2주,820.61,988.04
23년02월3주,816.79,965.40
23년02월4주,824.19,953.80
23년03월1주,814.91,934.52
23년03월2주,846.35,979.73
23년03월3주,840.54,960.37
23년03월4주,829.44,942.06
23년03월5주,815.15,915.24
23년04월1주,847.19,948.61
23년04월2주,902.96,980.95
23년04월3주,912.66,958.80
23년04월4주,868.60,917.67
23년05월1주,850.00,897.28
23년05월2주,808.53,851.40
23년05월3주,801.51,850.56
23년05월4주,797.42,841.46
23년05월5주,795.91,835.64
23년06월1주,798.46,841.41
23년06월2주,804.22,847.20
23년06월3주,802.64,854.08
23년06월4주,791.18,846.63
23년07월1주,814.41,871.88
23년07월2주,823.55,898.54
23년07월3주,833.86,902.35
23년07월4주,851.78,916.75
23년08월1주,882.39,968.18
23년08월2주,907.55,1065.04
23년08월3주,918.58,1077.52
23년08월4주,938.81,1089.29
23년08월5주,924.49,1075.27
23년09월1주,952.23,1102.77
23년09월2주,962.43,1112.10
23년09월3주,981.97,1140.36
23년09월4주,975.44,1130.59
23년10월1주,965.73,1147.98
23년10월2주,902.40,1120.17
23년10월3주,898.74,1107.47
23년10월4주,882.58,1096.65
23년11월1주,873.03,1083.53
23년11월2주,858.39,1040.76
23년11월3주,844.25,996.97
23년11월4주,837.30,976.45
23년11월5주,814.58,950.51
23년12월1주,815.43,951.26
23년12월2주,794.20,928.57
23년12월3주,797.36,930.61
23년12월4주,794.63,922.96
24년01월1주,797.02,921.42
24년01월2주,799.19,932.15
24년01월3주,804.40,942.01
24년01월4주,829.12,962.49
24년01월5주,847.42,968.23
24년02월1주,875.71,997.72
24년02월2주,875.33,1004.13
